"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Space Patrolman","8496488a-84b5-4a28-857a-92d0a3cc81fc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:47:32Z,"wix:image://v1/c3c13c_496eb6ef601341a39a2e6d38b15dfe03~mv2.jpg/2%2028%20-%20Space%20Patrolman.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",5,"Creature","Rokah","{""II - Deep Space Discoveries"":""Common""}","When you play this creature, kill 1 attachment card on either player's planet.",,200,200
"Emblem of Unity","84a3ee92-8382-474b-87b8-44c0b94b643f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_257d3542228246658658c431a28529ac~mv2.jpg/021%20-%20Emblem%20of%20Unity.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",,"Resource",,"{""Base Galaxy 5: The Justice of Sindian"":""Common""}","If you have a zoned Utopanon creautre, draw 1 card. If you have 3+ zoned Utopanon creatures, draw 2 cards instead.",,,
"Choople Cherub","84e9a2da-b11e-4204-99b4-fba01ad7a9a2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:43:36Z,"wix:image://v1/c3c13c_5c767e8aee0c4a638712719aa1f9e26c~mv2.jpg/013%20-%20Choople%20Cherub.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",2,"Creature","Sindian","{""Base Galaxy 5: The Justice of Sindian"":""Common""}","Whilst Sindian is your planet card, you can choose to make this creature the only creature your opponent can attack (Instead of using Sindian's ability).",,20,140
"Super Bouncy Trampoline","85e99e90-e76d-4714-b307-e1d03e0b343b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_b811279d97604e1c9eab141acb305eb7~mv2.jpg/LOC%2080%20-%20Super%20Bouncy%20Trampoline.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Legends of the Cosmos""]",,"Activator",,"{""Legends of the Cosmos"":""Limited Edition""}","When one your creatures would be affected by an opponent's creature ability...Your opponent's creature is affected instead.",,,
"Shmonyo the Judge","86112324-850f-415f-b224-86eff10499e9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_058dcb1359c648ffbfe843dadee3f049~mv2.jpg/2%2071%20-%20Shmonyo%20the%20Judge.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common""}","The power & health of all creatures on both players' planets cannot be changed by card abilities except their own.",,,
"Angel Spacecraft","86522525-1e0b-447c-9eb9-dab6d2a42e3a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-08T15:41:36Z,"wix:image://v1/c3c13c_795f016c12ce4b1ebfe97ecc0c7d5964~mv2.jpg/3%20114%20-%20Angel%20Spacecraft.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Permanent Resource",,"{""III - Galactic Divide"":""Limited Edition""}","When you cost play a Sindian creature, draw 1 card. If it is not a Sindian creature, kill it and this card.",,,
"Grouknight","865608b8-dd89-4e33-995e-b67c815eda31","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:44:48Z,"wix:image://v1/c3c13c_93ce04f5d5f1467e9722519f4e7faf3a~mv2.jpg/2%208%20-%20Grouknight.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Baro Planetary Collection"",""Legends of the Cosmos""]",4,"Creature","Baro","{""II - Deep Space Discoveries"":""Common"",""Baro Planetary Collection"":""Common"",""Legends of the Cosmos"":""Rare""}",,,160,250
"Pentaplanter","86ae0cd5-a5af-41b9-8ca3-01165bb70066","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_e120df36a49c4111a4fb1bf6b0d9b395~mv2.jpg/3%2084%20-%20Pentaplant.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Attachment",,"{""III - Galactic Divide"":""Common""}","If a player would cost play a creature with the same amount of stars as this card's attached creature you can kill this card instead of paying stars for that cost play.",,,
"Aakru - Tree of the Nightjungle","8709070e-5481-401c-a6c5-cb8271d735f3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_e6fe5843e97e440cb042be088269848d~mv2.jpg/D3%2018%20-%20IAakru%20Tree%20of%20the%20Nightjungle.j#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",,"Resource",,"{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}","If this card is killed by the ability of a nightjungle creature on your planet, add 1 resource conjurer to your hand that is either killed or in your galaxy. ",,,
"Hellda","8794b158-c34c-4d12-ad6c-b2b5637183e8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:45:40Z,"wix:image://v1/c3c13c_19a931b7aae94fc09050972d7884a996~mv2.jpg/1%2042%20-%20Hellda.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",2,"Creature","Sindell","{""I - The Origin of Chaos"":""Common""}",,,30,170
"Flappy Dragon","87c479b5-77e5-485b-baf6-b3958360cde3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:44:02Z,"wix:image://v1/c3c13c_779c3b7db6df48e885ac9db97d6ed49d~mv2.jpg/1%2024%20-%20flappy%20dragon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",3,"Creature","Rokah","{""I - The Origin of Chaos"":""Common""}",,,150,150
"Tomb Dragon - Wyvern","8838c088-a906-4150-9cd0-0a99c16968c3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_49bda56c17ad4b3bbbe2b1d1a14918dc~mv2.jpg/018%20-%20Tomb%20dragon%20-%20Wyvern.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 6: The Corruption of Sindell""]",,"Combiner","Sindell","{""Base Galaxy 6: The Corruption of Sindell"":""Common""}","Once per turn, when a Sindell creature is killed from your galaxy, this creature permanently gains 50 power or health (you choose). Also it cannot be killed by resource cards until the start of your next turn.",,300,250
"Tentaclon - Head","886877d9-02e2-47b9-9f07-3ec19abb5292","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_d21ea4563eda422582014747e25aa074~mv2.jpg/1%2050%20-%20Tentaclon%20Head.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Combiner","Palicium","{""I - The Origin of Chaos"":""Common""}",,,370,290
"Cataplonk","887bc7b1-7730-4606-add2-1556cb880d4c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:43:19Z,"wix:image://v1/c3c13c_2d5850cf05b746b192dd65486dd36a23~mv2.jpg/007-Cataplonk.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection"",""II - Deep Space Discoveries"",""Legends of the Cosmos""]",4,"Creature","Baro","{""Baro Planetary Collection"":""Common"",""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Common""}","Once per turn, you reveal 1 handed creature to your opponent that has more health than it has power, to gain 1 point.",,100,230
"Sheosian Lava Bat","88afa497-ac24-49ee-a7b9-50285c1f6882","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:47:09Z,"wix:image://v1/c3c13c_ad76dae67ddf4d92b75c931516147308~mv2.jpg/D2%202%20Bat.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 2: The Infernos of Sheos""]",3,"Creature","Sheos","{""Base Galaxy 2: The Infernos of Sheos"":""Common""}","Only once, when this creature attacks and kills a creature, free play 1 of your killed, 4 star or less Sheosian Lava creatures to any creature zone, except Sheosian Lava Bat, or kill this card.",,160,90
"Shape Knight Octorius","88fcd97d-36e0-4940-9ce3-9caee64ec0a8","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:15:10Z,2024-02-22T04:54:34Z,"wix:image://v1/e6d532_d6be92a5a379412daa35b08ee30c471c~mv2.jpg/042%20-%20Shape%20Knight%20Octorius.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sindian Planetary Collection""]",8,"Creature","Sindian",,"This creature's power is 80x its stars. After this creature is played, it's stars become 1. This creature gains 1 star for each of your killed Shape Knight creatures. Once per turn, gain stars equal to this creature's stars.",,0,480
"Floating Temples of Tempfloaty","8920f3bb-c7be-4acb-8c10-23e3cb1db7e2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_594af343430646388e4a0d8e84c33850~mv2.jpg/4%2070%20-%20Floating%20Temples%20of%20Tempfloaty.jp#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Permanent Resource",,"{""IV - Planets United"":""Common""}","Once per turn, if you have no cards in your hand, gain 1 point and 2 stars.",,,
"Angry Totem","89ae1033-092d-4193-a110-97c91256b85a","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:42:46Z,"wix:image://v1/06e28e_d29f2bcea1b645189a46f06922b5b6e9~mv2.jpg/064-Angry-totem.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Resource",,"{""V - Beyond Horizons"":""Common""}","Kill 1 zoned creature, your opponent draws 1 card and you can only attack with 1 creature this turn.",,,
"Mystical Relic - Phantasmal Spoons","89c0fa00-a42c-470e-b21f-d741def155e4","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2025-04-13T20:15:18Z,"wix:image://v1/c3c13c_b5f739f58ac84ebf8acf419e0f9f797b~mv2.jpg/4%2053%20-%20Mystical%20Relic%20Phantasmal%20Spoons..jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Resource",,"{""IV - Planets United"":""Ridiculously Rare""}","Reveal the top 3 cards of your galaxy. Add 1 to your hand, kill 1 and place 1 at the bottom of your galaxy. You can only play 1 creature the turn you play this card.","Banned - No copies of this card are allowed in your deck",,
"Boople Brick","8b060450-a9d9-4ab8-b54e-13dd4399e5e6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:42:58Z,"wix:image://v1/c3c13c_6a250a982b4143a7b65647f750a21396~mv2.jpg/013-Boople-Brick.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection""]",2,"Creature ","Baro ","{""Baro Planetary Collection"":""Common"",""Base Galaxy 4: The Wastelands of Baro"":""Common""}","Whilst this creature is on your planet, you can use the ability of the planet card Baro up to twice per turn.",,20,60
"Ghatomic Wasteland","8b082f49-abd1-45aa-9d1a-996f9a554438","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_e492e4927bc646d3af708a6cb8af20d9~mv2.jpg/019%20-%20Ghatomic%20Wasteland.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 6: The Corruption of Sindell""]",,"Resource",,"{""Base Galaxy 6: The Corruption of Sindell"":""Common""}","Whenever a Ghi on your planet is killed, you can pay 2 stars to shuffle it back into your galaxy. When a Ghatomic creature is free played by the ability of Ghi, that creature permanently gains 50 power and health.",,,
"Tower of Baarock","8b477ce9-8f48-4ade-8156-c724259c6015","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-08T15:41:36Z,"wix:image://v1/c3c13c_caadf6c9bc3d494182f7ae860d72d844~mv2.jpg/4%2087%20-%20Tower%20of%20Baarock.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Activator",,"{""IV - Planets United"":""Common""}","When you cost play a 5 star or lower creature... free play 1 of your killed creatures from the same planet that has 1 less star, it loses any abilities it has.",,,
"Cosmic Treasure","8c3e036a-5871-4f12-bb3d-e6ef13563a29","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-08-24T22:13:51Z,"wix:image://v1/c3c13c_2c8d1d28fb404f238e973788fdcfa918~mv2.jpg/1%2067%20-%20Cosmic%20Treasure.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Really Rare""}","You can only play this card if you have less total cards in your hand and on your planet than your opponent. You draw 2 cards.","Banned - No copies of this card are allowed in your deck",,
"Deepspace lighthouse","8c5861f6-9118-4e89-ad2b-bc30ee7f0f7d","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:46:38Z,"wix:image://v1/06e28e_e42f5d1679a14f0186a6ab8169b6ee91~mv2.jpg/065-Deepspace-Lighthouse.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Resource",,"{""V - Beyond Horizons"":""Rare""}","Take control of 1 of your opponent’s zoned creatures which comes from your planet card.",,,
"Crossbones Headquarters","8ca0fbfe-bfb7-48c8-9c95-95fa86930a15","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_6189f7fbb71540e3be4676406ad74978~mv2.jpg/3%2078%20-%20Crossbones%20Headquarters.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Permanent Resource",,"{""III - Galactic Divide"":""Common""}","When you play this card, add 1 galaxied Commander Crossbones to your hand. Every time a Skullcross card is atached to your Commander Crossbones kill 1 of you ropponent's zoned creatures.",,,
"Leviathan Crown","8dce9e60-e902-4a8b-954a-3d2242f654fb","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2025-04-13T20:17:51Z,"wix:image://v1/c3c13c_448e709f71104dfcb2cd1f1c6e7d49b6~mv2.jpg/029---Leviathan-Crown.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Palicium Planetary Collection""]",,"Activator",,"{""Palicium Planetary Collection"":""Common""}","When a 7 or 8 star Palicium creature would leave your planet due to an opponent's card ability: cancel that card's ability.",,,
"Galafection","8e0db35b-f159-4ce5-bfb4-edf072a20311","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_c3174dbd674c4caf8b66aab258d9080d~mv2.jpg/1%2078%20-%20galafection.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Permanent Resource",,"{""I - The Origin of Chaos"":""Common""}","When a player's turn ends, that player must kill the top card of their galaxy. ",,,
"Blazing Squoz","8e184b0c-fd5b-4c35-bce0-9fb80a078351","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:05:07Z,2024-02-22T04:27:11Z,"wix:image://v1/e6d532_478c71643b4344fd8981bac19807e68f~mv2.jpg/036%20-%20Blazing%20Squoz.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sheos Planetary Collection""]",2,"Creature","Sheos",,"After this creature is killed by an opponent's attack, free play 1 of your killed creatures that comes from your planet card and has 120 or less health.",,40,130
"Batatata","8e69f267-3e06-451d-87be-5c85a2a05e82","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:43:11Z,"wix:image://v1/c3c13c_001d5a3fb6fa4eb780be9b41ec0b29f1~mv2.jpg/4%2038%20-%20Garude%20Overseer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",4,"Creature","Rokah","{""IV - Planets United"":""Common""}","If your opponent's planet has more zones than yours, kill this zoned creature.",,290,200
"Skardian of the Moons","8ebf93ca-067b-4f02-91bd-003b4fe312cd","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:57:55Z,"wix:image://v1/06e28e_9e88dd0126914bb7ac478834b68ebaf8~mv2.jpg/049-Skardian-of-the-Moons.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",6,"Creature","Rokah","{""V - Beyond Horizons"":""Rare""}","You can only have 1 zoned Skardian. This zoned creature can’t be killed by resources. If Rokah is your planet, when your opponent’s turn ends, you can shuffle this zoned creature into your galaxy to free play 1 galaxied Skardian.",,40,440
"Sindell","8ec9340c-9e08-477a-b1ef-529438a47950","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-11-02T18:28:02Z,"wix:image://v1/c3c13c_cfb451a6d1f4470099ddb0b5e2c97195~mv2.jpg/1%2096%20-%20sindell.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""II - Deep Space Discoveries"",""III - Galactic Divide"",""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Sindell","{""III - Galactic Divide"":""Planet"",""V - Beyond Horizons"":""Planet"",""IV - Planets United"":""Planet"",""I - The Origin of Chaos"":""Planet"",""II - Deep Space Discoveries"":""Planet""}","Every time a Sindell creature on your planet is killed by an opponent's attack or creature ability, you gain 1 star.",,,
"Research Outpost","8f73d839-6f66-4966-90d4-be84e85a1305","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_53617ec77bd54233adbbc8f2df56186a~mv2.jpg/3%2083%20-%20Research%20Outpost.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide"",""Baro Planetary Collection""]",,"Resource",,"{""III - Galactic Divide"":""Common"",""Baro Planetary Collection"":""Common""}","Once per turn, you can kill 1 of your handed Baro creatures to have all of your zoned Baro creatures gain 100 power until the end of your turn.",,,
"Nanoray - Elasmabon","8fc8fe27-602f-4e56-9164-634e9821e57d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:46:09Z,"wix:image://v1/c3c13c_740d120b6d9240a788c524cc0540cbfe~mv2.jpg/D1%203%20Elasmabon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium""]",2,"Creature","Palicium","{""Base Galaxy 1: The Depths of Palicium"":""Common""}",,,80,90
"Shellagro","901fa1b6-a12a-4597-9596-a748eedbb67e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:47:10Z,"wix:image://v1/c3c13c_2892cc2128d44802bc308249ee4a9889~mv2.jpg/d1%2010%20-%20shellagro.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium""]",3,"Creature","Palicium","{""Base Galaxy 1: The Depths of Palicium"":""Common""}",,,150,140
"Power Proof Scanner","9109b344-1b15-42b3-adce-331c58a1c4c1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_fefd495bcf924b4b84009d607a6acd7b~mv2.jpg/4%2090%20-%20Power%20Proof%20Scanner.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Activator",,"{""IV - Planets United"":""Common""}","When a creature's ability activates when it is played, cancel that creature's ability.",,,
"Pecky","910b612c-bc47-4528-a2b8-3f1349ff8577","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:46:48Z,"wix:image://v1/c3c13c_296d5bd14dfd4f67a9d4dec08d9b864f~mv2.jpg/2%2026%20-%20Pecky.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",3,"Creature","Rokah","{""II - Deep Space Discoveries"":""Common""}","This creature cannot be killed by a creature with 7 or more stars.",,90,200
"Gomp","91e9d5c2-156e-45c4-9c8f-24b0d70004c6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:44:54Z,"wix:image://v1/c3c13c_799c119e5ade464a8706cb3ffd98cab5~mv2.jpg/2%2027%20-%20Gompp.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",4,"Creature","Gaios","{""II - Deep Space Discoveries"":""Rare"",""Legends of the Cosmos"":""Really Rare""}","Every time your opponent loses a point, this creature permanently gains 50 power & health.",,110,140
"Stalektronk - Stalekarm","923b8392-7435-4e82-b212-8700efe6d34c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_a3ff03475fdb42bdbfe63013264f071c~mv2.jpg/3%2031%20-%20Stalektronk%20Stalekarm.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Combiner","Palicium","{""III - Galactic Divide"":""Common""}","During any turn, the first time a zone is added to a planet you must kill 1 of either player's zoned cards.",,240,330
"Parallel Universe","928ee2f2-206d-442d-9e0a-d06b3ce29b21","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-08T15:41:28Z,"wix:image://v1/c3c13c_85c699014b8b46ba846352e327738dee~mv2.jpg/1%2079%20-%20parallel%20universe.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Permanent Resource",,"{""I - The Origin of Chaos"":""Really Rare""}","When you play this card, both players swap galaxies planets, hands, killed cards, zones, and planet cards. Every time your opponent's turn end, both players swap again.","Banned - No copies of this card are allowed in your deck",,
"Bikabow Bird","9292051d-e44a-4554-9eb3-14c8445a53c3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:43:05Z,"wix:image://v1/c3c13c_81b4bb6b33cf40f2bcf8f3095b5cb2fa~mv2.jpg/3%201%20-%20Bikabow%20Bird.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature","Rokah","{""III - Galactic Divide"":""Common""}",,,200,200
"Graviathax","92a92bc0-304e-4c32-a7f6-4f389213e869","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-06-23T02:43:27Z,"wix:image://v1/c3c13c_b063d697bbf24d44ad0c7f38954344d3~mv2.jpg/4%2013%20-%20Graviathax.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",6,"Creature","Sheos","{""IV - Planets United"":""Rare""}","After this creature attacks your opponent's planet, your opponent kills 1 handed card at random.",,330,200
"Gehenna- Gehenna's Touch","9318609f-d1f6-4383-a2fa-7be1a3c2c3fe","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-08-24T22:15:18Z,"wix:image://v1/06e28e_0ec173ba1ee44b329677b0a0dbdba59e~mv2.jpg/2%2049%20-%20Gehenna_Touch.jpg#originWidth=870&originHeight=1216","/card-database-1/","[""II - Deep Space Discoveries""]",,"Combiner","Sindell","{""II - Deep Space Discoveries"":""Common""}","You cannot play attachment cards whilst this creature is on your planet. When you play this creature, attach 1 creature on your opponent's planet to it. Also, whenever a Sindell creature on your planet would be killed, attach it to this card instead. This creature gains 50 power & health for every card attached to it. If this craeture would be killed by an opponent's attack or card ability, you can kill 1 card atttached to this creature instead.",,100,100
"Bar of Misfortune","9334b84d-f746-429c-b0cf-4596f68b0163","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2023-07-30T23:07:59Z,2023-07-30T23:13:12Z,"wix:image://v1/e6d532_f8cc22d9ddff4090a0b203fe06f57916~mv2.jpg/LOC2_85_BAR_OF_MISFORTUNE.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Legends of the Cosmos""]",,"Permanent Resource",,"{""II - Legends of the Cosmos"":""Limited Edition""}","Once per turn, you can attach 1 of your killed, 4 star or lower creatures to this card. At the end of your next turn, add that creature to your hand only 1 card can be attached to this card at any time. You cannot attach the same creature to this card more than once.",,,
"Zenshi the Assigner","93a83c64-8ad9-48ae-981e-e99d71a71017","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:26:44Z,"wix:image://v1/06e28e_87014792b2d14b06b0dd912a9921022b~mv2.jpg/025-Zenshi-the-assigner.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",7,"Creature","Sindian","{""V - Beyond Horizons"":""Rare""}","Once per turn, you can kill 1 handed creature to kill 1 zoned resource / attachment or, if you kill a handed Sindian creature, you can kill 1 zoned creature instead.",,200,380
"Cerberam of Sindell","93d59585-5ecc-4a5e-8cd7-9946ca2a9784","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:43:38Z,"wix:image://v1/c3c13c_e478d5f1ada049c4a0840650d4987031~mv2.jpg/3%2022%20-%20Cerberam.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",9,"Creature","Sindell","{""III - Galactic Divide"":""Really Rare""}","This card cannot be free played. If Sindell is your planet card, this creature can enter up to 2 battle zones per turn. When this zoned creature is killed, free play any galaxied, 5 star or lower Sinddell creature to your planet.","Chaos Beast - You can only have 1 Chaos Beast in your deck",340,430
"Bub World","93e57d82-599b-48ae-a433-38becc5d344e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_e07437ba1fc043678df0d3b88e428e48~mv2.jpg/4%2066%20-%20Bub%20World.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Permanent Resource",,"{""IV - Planets United"":""Common""}","All zoned creatures lose 2 stars.",,,
"Orbov","93ef08be-9090-4127-b3ff-d481e879d461","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:46:37Z,"wix:image://v1/c3c13c_d82288a95a4743279418304ecd4f72a9~mv2.jpg/1%204%20-%20Orbov.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",2,"Creature","Sindian","{""I - The Origin of Chaos"":""Rare"",""Legends of the Cosmos"":""Common""}","Once per game, when your opponent moves a creature into a battle zone, you can free play this creature.",,70,70
"Quadruple Worm Hole (IV)","93f777bc-8a60-4db4-ba20-414488d937dc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_a6b2b654b42d484f86e26ac0b9bb4fc2~mv2.jpg/4%2055%20-%20quadruple%20worm%20hole.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Resource",,"{""IV - Planets United"":""Common""}","Select 4 of your killed creature/combiner cards which come from the same planet. Shuffle them back into your galaxy.",,,
